* add
[0x0.0000000000000p+0,0x0.0000000000000p+0] | [0x0.0000000000000p+0,0x0.0000000000000p+0]
[0x1.0000000000000p+0,0x1.0000000000000p+0] | [-0x1.0000000000000p+0,-0x1.0000000000000p+0]
[0x1.0000000000000p+0,0x1.0000000000000p+0] | [0x0.0000000000000p+0,0x0.0000000000000p+0]
[0x1.0000000000000p+0,0x1.0000000000000p+0] | [0x1.0000000000000p+0,0x1.0000000000000p+0]
[0x1.fffffffffffffp+1023,0x1.fffffffffffffp+1023] | [0x1.0000000000000p-1,0x1.0000000000000p-1]
[-0x1.fffffffffffffp+1023,-0x1.fffffffffffffp+1023] | [0x1.0000000000000p-1,0x1.0000000000000p-1]
[0x0.00000000007e8p-1022,0x0.00000000007e8p-1022] | [0x0.00000000007e8p-1022,0x0.00000000007e8p-1022]
[0x0.00000000007e8p-1022,0x0.00000000007e8p-1022] | [0x1.0000000000000p+0,0x1.0000000000000p+0]
[0x0.00000000007e8p-1022,0x0.00000000007e8p-1022] | [-0x1.0000000000000p+0,-0x1.0000000000000p+0]
[-0x1.8000000000000p+1,-0x1.0000000000000p+1] | [-0x1.8000000000000p+1,-0x1.0000000000000p+1]
[-0x1.8000000000000p+1,-0x1.0000000000000p+1] | [-0x1.0000000000000p+0,0x1.0000000000000p+0]
[-0x1.8000000000000p+1,-0x1.0000000000000p+1] | [0x1.0000000000000p+1,0x1.8000000000000p+1]
[-0x1.0000000000000p+0,0x1.0000000000000p+0] | [-0x1.8000000000000p+1,-0x1.0000000000000p+1]
[-0x1.0000000000000p+0,0x1.0000000000000p+0] | [-0x1.0000000000000p+0,0x1.0000000000000p+0]
[-0x1.0000000000000p+0,0x1.0000000000000p+0] | [0x1.0000000000000p+1,0x1.8000000000000p+1]
[0x1.0000000000000p+1,0x1.8000000000000p+1] | [-0x1.8000000000000p+1,-0x1.0000000000000p+1]
[0x1.0000000000000p+1,0x1.8000000000000p+1] | [-0x1.0000000000000p+0,0x1.0000000000000p+0]
[0x1.0000000000000p+1,0x1.8000000000000p+1] | [0x1.0000000000000p+1,0x1.8000000000000p+1]
[-0x1.4000000000000p+2,0x1.0000000000000p+1] | [-0x1.0000000000000p+2,0x1.8000000000000p+1]
[-0x1.4000000000000p+2,0x1.0000000000000p+1] | [-0x1.8000000000000p+1,0x1.0000000000000p+3]
[-0x1.0000000000000p+1,0x1.4000000000000p+2] | [-0x1.0000000000000p+2,0x1.8000000000000p+1]
[-0x1.0000000000000p+2,0x1.4000000000000p+2] | [-0x1.0000000000000p+2,0x1.8000000000000p+1]
[-0x1.8000000000000p+1,0x0.0000000000000p+0] | [-0x1.8000000000000p+1,-0x1.0000000000000p+1]
[-0x1.8000000000000p+1,0x0.0000000000000p+0] | [-0x1.0000000000000p+0,0x1.0000000000000p+0]
[-0x1.8000000000000p+1,0x0.0000000000000p+0] | [0x1.0000000000000p+1,0x1.8000000000000p+1]
[-0x1.8000000000000p+1,-0x1.0000000000000p+1] | [-0x1.8000000000000p+1,0x0.0000000000000p+0]
[-0x1.8000000000000p+1,-0x1.0000000000000p+1] | [0x0.0000000000000p+0,0x1.8000000000000p+1]
[-0x1.0000000000000p+0,0x1.0000000000000p+0] | [-0x1.8000000000000p+1,0x0.0000000000000p+0]
[-0x1.0000000000000p+0,0x1.0000000000000p+0] | [0x0.0000000000000p+0,0x1.8000000000000p+1]
[0x0.0000000000000p+0,0x1.8000000000000p+1] | [-0x1.8000000000000p+1,-0x1.0000000000000p+1]
[0x0.0000000000000p+0,0x1.8000000000000p+1] | [-0x1.0000000000000p+0,0x1.0000000000000p+0]
[0x0.0000000000000p+0,0x1.8000000000000p+1] | [0x1.0000000000000p+1,0x1.8000000000000p+1]
[0x1.0000000000000p+1,0x1.8000000000000p+1] | [-0x1.8000000000000p+1,0x0.0000000000000p+0]
[0x1.0000000000000p+1,0x1.8000000000000p+1] | [-0x1.8000000000000p+1,0x0.0000000000000p+0]
[0x0.0000000000000p+0,0x1.0000000000000p+1] | [-0x1.8000000000000p+1,0x0.0000000000000p+0]
[-0x0.00000000007e8p-1022,-0x0.00000000007e8p-1022] | [-0x0.00000000007e8p-1022,-0x0.00000000007e8p-1022]
[-0x0.00000000007e8p-1022,-0x0.00000000007e8p-1022] | [0x1.0000000000000p+0,0x1.0000000000000p+0]
[-0x0.00000000007e8p-1022,-0x0.00000000007e8p-1022] | [-0x1.0000000000000p+0,-0x1.0000000000000p+0]
[-0x0.00000000007e8p-1022,-0x0.00000000007e8p-1022] | [0x0.00000000007e8p-1022,0x0.00000000007e8p-1022]
[-0x0.00000000007e8p-1022,-0x0.00000000007e8p-1022] | [0x0.0000000000000p+0,0x0.0000000000000p+0]
[0x0.00000000007e8p-1022,0x0.00000000007e8p-1022] | [0x0.0000000000000p+0,0x0.0000000000000p+0]
* div
[-0x1.0000000000000p+0,-0x1.0000000000000p+0] | [-0x1.0000000000000p+0,-0x1.0000000000000p+0]
[-0x1.0000000000000p+0,-0x1.0000000000000p+0] | [0x1.0000000000000p+0,0x1.0000000000000p+0]
[0x0.0000000000000p+0,0x0.0000000000000p+0] | [-0x1.0000000000000p+0,-0x1.0000000000000p+0]
[0x0.0000000000000p+0,0x0.0000000000000p+0] | [0x1.0000000000000p+0,0x1.0000000000000p+0]
[0x1.0000000000000p+0,0x1.0000000000000p+0] | [-0x1.0000000000000p+0,-0x1.0000000000000p+0]
[0x1.0000000000000p+0,0x1.0000000000000p+0] | [0x1.0000000000000p+0,0x1.0000000000000p+0]
[0x1.fffffffffffffp+1023,0x1.fffffffffffffp+1023] | [0x1.0000000000000p+1,0x1.0000000000000p+1]
[-0x1.fffffffffffffp+1023,-0x1.fffffffffffffp+1023] | [0x1.0000000000000p+1,0x1.0000000000000p+1]
[0x0.00000000007e8p-1022,0x0.00000000007e8p-1022] | [0x0.00000000007e8p-1022,0x0.00000000007e8p-1022]
[0x0.00000000007e8p-1022,0x0.00000000007e8p-1022] | [0x1.0000000000000p+0,0x1.0000000000000p+0]
[0x0.00000000007e8p-1022,0x0.00000000007e8p-1022] | [-0x1.0000000000000p+0,-0x1.0000000000000p+0]
[-0x1.8000000000000p+1,-0x1.0000000000000p+1] | [-0x1.8000000000000p+1,-0x1.0000000000000p+1]
[-0x1.8000000000000p+1,-0x1.0000000000000p+1] | [0x1.0000000000000p+1,0x1.8000000000000p+1]
[-0x1.0000000000000p+0,0x1.0000000000000p+0] | [-0x1.8000000000000p+1,-0x1.0000000000000p+1]
[-0x1.0000000000000p+0,0x1.0000000000000p+0] | [0x1.0000000000000p+1,0x1.8000000000000p+1]
[0x1.0000000000000p+1,0x1.8000000000000p+1] | [-0x1.8000000000000p+1,-0x1.0000000000000p+1]
[0x1.0000000000000p+1,0x1.8000000000000p+1] | [0x1.0000000000000p+1,0x1.8000000000000p+1]
[-0x1.8000000000000p+1,0x0.0000000000000p+0] | [-0x1.8000000000000p+1,-0x1.0000000000000p+1]
[-0x1.8000000000000p+1,0x0.0000000000000p+0] | [0x1.0000000000000p+1,0x1.8000000000000p+1]
[0x0.0000000000000p+0,0x1.8000000000000p+1] | [-0x1.8000000000000p+1,-0x1.0000000000000p+1]
[0x0.0000000000000p+0,0x1.8000000000000p+1] | [0x1.0000000000000p+1,0x1.8000000000000p+1]
