# pi/2 up   = 0X1.921FB54442D19P+0
# pi/2 down = 0X1.921FB54442D18P+0
# denorm min = 0X1P-1022
# max = 0X1.FFFFFFFFFFFFFP+1023

* atan2Rev2
#0
[1,1.001]  | [1,1.001] | [1,1.001]
#[1,1]  | [1.83, 0X1.921FB54442D19P+1] | [0, inf]
#[1,1]  | [1.83, 0X1.921FB54442D19P+1] | [0, 0]

#19C
[1,1]  | [0X1.D47AE147AE147P+0, 0X1.921FB54442D19P+1] | [-inf, inf]
[1,1]  | [0X1.D47AE147AE147P+0, 0X1.921FB54442D19P+1] | [-inf, 0]
[1,1]  | [0X1.D47AE147AE147P+0, 0X1.921FB54442D19P+1] | [0, inf]
[1,1]  | [0X1.D47AE147AE147P+0, 0X1.921FB54442D19P+1] | [0, 0]

#19D
[1,1]  | [0X1.D47AE147AE149P+0, 0X1.921FB54442D19P+1] | [-inf, inf]
[1,1]  | [0X1.D47AE147AE149P+0, 0X1.921FB54442D19P+1] | [-inf, 0]
[1,1]  | [0X1.D47AE147AE149P+0, 0X1.921FB54442D19P+1] | [0, inf]
[1,1]  | [0X1.D47AE147AE149P+0, 0X1.921FB54442D19P+1] | [0, 0]

#19E
[1,1]  | [0X1.D47AE2P+0, 0X1.921FB54442D19P+1] | [-inf, inf]
[1,1]  | [0X1.D47AE2P+0, 0X1.921FB54442D19P+1] | [-inf, 0]
[1,1]  | [0X1.D47AE2P+0, 0X1.921FB54442D19P+1] | [0, inf]
[1,1]  | [0X1.D47AE2P+0, 0X1.921FB54442D19P+1] | [0, 0]

#19F
[1,1]  | [0X1.D47AE1P+0, 0X1.921FB54442D19P+1] | [-inf, inf]
[1,1]  | [0X1.D47AE1P+0, 0X1.921FB54442D19P+1] | [-inf, 0]
[1,1]  | [0X1.D47AE1P+0, 0X1.921FB54442D19P+1] | [0, inf]
[1,1]  | [0X1.D47AE1P+0, 0X1.921FB54442D19P+1] | [0, 0]

#19G
[1,1]  | [0X1.D47AE3P+0, 0X1.921FB54442D19P+1] | [-inf, inf]
[1,1]  | [0X1.D47AE3P+0, 0X1.921FB54442D19P+1] | [-inf, 0]
[1,1]  | [0X1.D47AE3P+0, 0X1.921FB54442D19P+1] | [0, inf]
[1,1]  | [0X1.D47AE3P+0, 0X1.921FB54442D19P+1] | [0, 0]

#20
[-1,-1]  | [-0X1.921FB54442D19P+1, -0X1.921FB54442D18P+0] | [-inf, inf]
[-1,-1]  | [-0X1.921FB54442D19P+1, -0X1.921FB54442D18P+0] | [-inf, 0]
[-1,-1]  | [-0X1.921FB54442D19P+1, -0X1.921FB54442D18P+0] | [0, inf]
[-1,-1]  | [-0X1.921FB54442D19P+1, -0X1.921FB54442D18P+0] | [0,0]

#21
[-1,-1]  | [-0X1.921FB54442D19P+0, -0X1.921FB54442D18P+0] | [-inf, inf]
[-1,-1]  | [-0X1.921FB54442D19P+0, -0X1.921FB54442D18P+0] | [-inf, 0]
[-1,-1]  | [-0X1.921FB54442D19P+0, -0X1.921FB54442D18P+0] | [0, inf]
[-1,-1]  | [-0X1.921FB54442D19P+0, -0X1.921FB54442D18P+0] | [0,0]


